fonte,tipo_fonte,issn,isbn,ano,indexado,metodo
2025 IEEE International Conference on Advanced Computing Technologies (ICACT),conferencia,,979-8-3315-9002-4,2025,True,ISBN
"2025 International Conference on Intelligent Control, Computing and Communications (IC3)",conferencia,,979-8-3315-2749-5,2025,True,ISBN
"2023 5th International Conference on Intelligent Control, Measurement and Signal Processing (ICMSP)",conferencia,,979-8-3503-3603-0,2023,True,ISBN
2018 IEEE Symposium on Computers and Communications (ISCC),conferencia,1530-1346,978-1-5386-6950-1,2018,True,ISBN
2023 International Conference on Integrated Intelligence and Communication Systems (ICIICS),conferencia,,979-8-3503-1545-5,2023,True,ISBN
2024 11th International Conference on Signal Processing and Integrated Networks (SPIN),conferencia,2688-769X,979-8-3503-0843-3,2024,True,ISBN
2025 6th International Conference on Inventive Research in Computing Applications (ICIRCA),conferencia,,979-8-3315-2142-4,2025,True,ISBN
2025 Advanced Computing and Communication Technologies for High Performance Applications (ACCTHPA),conferencia,,979-8-3315-4437-9,2025,True,ISBN
2025 IEEE 4th International Conference for Advancement in Technology (ICONAT),conferencia,,979-8-3315-9573-9,2025,True,ISBN
2011 International Conference on Business Computing and Global Informatization,conferencia,2378-895X,978-1-4577-0788-9,2011,False,
"2023 IEEE 20th International Conference on Smart Communities: Improving Quality of Life using AI, Robotics and IoT (HONET)",conferencia,1949-4106,979-8-3503-3111-0,2023,True,ISBN
2021 International Bhurban Conference on Applied Sciences and Technologies (IBCAST),conferencia,2151-1411,978-1-6654-0516-4,2021,False,
"2024 International Conference on Electrical Drives, Power Electronics & Engineering (EDPEE)",conferencia,,979-8-3503-9563-1,2024,True,ISBN
2025 International Conference on Innovations and Emerging Technologies In AI & Communication Systems (IETACS),conferencia,,979-8-3315-7073-6,2025,True,ISBN
"2024 IEEE International Conference on Metaverse Computing, Networking, and Applications (MetaCom)",conferencia,,979-8-3315-1599-7,2024,True,ISBN
2021 3rd International Academic Exchange Conference on Science and Technology Innovation (IAECST),conferencia,,978-1-6654-0267-5,2021,True,ISBN
2024 Second International Conference Computational and Characterization Techniques in Engineering & Sciences (IC3TES),conferencia,,979-8-3503-6469-9,2024,True,ISBN
"2021 IEEE 11th Annual International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)",conferencia,2642-6633,978-1-6654-2527-8,2021,True,ISBN
"2024 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)",conferencia,,979-8-3315-4362-4,2024,False,
"2024 International Conference on Electronics and Devices, Computational Science (ICEDCS)",conferencia,,979-8-3315-2762-4,2024,True,ISBN
IEEE Transactions on Intelligent Transportation Systems,periodico,1558-0016,,2022,True,ISSN
"2025 International Conference on Data Science, Agents & Artificial Intelligence (ICDSAAI)",conferencia,,979-8-3315-3755-5,2025,True,ISBN
17th International Conference on Information Fusion (FUSION),conferencia,,978-8-4901-2355-3,2014,True,ISBN
"2025 International Conference on Control, Automation, and Instrumentation (IC2AI)",conferencia,,979-8-3315-2960-4,2025,True,ISBN
2014 International Conference on Connected Vehicles and Expo (ICCVE),conferencia,2378-1297,978-1-4799-6729-2,2014,True,ISBN
2025 IEEE International Conference on Industrial Technology (ICIT),conferencia,2643-2978,979-8-3315-2195-0,2025,True,ISBN
