"Occurrences","Words","Cluster","Color","Cluster_Label","Cluster_Frequency","btw_centrality","clos_centrality","pagerank_centrality"
113,"semantics",2,"#377EB880","big data",7357,3688.52066412666,0.000572409845449342,0.00339151925382388
111,"network architecture",2,"#377EB880","big data",7357,3014.26406711711,0.000566251415628539,0.00315041462927372
106,"heterogeneous data",2,"#377EB880","big data",7357,1795.72230886306,0.000551876379690949,0.00265320193432264
101,"information use",2,"#377EB880","big data",7357,2219.06325427027,0.000557724484104852,0.003211153233879
89,"architecture",2,"#377EB880","big data",7357,2407.93028503637,0.000558971492453885,0.00252439771179569
88,"advanced analytics",2,"#377EB880","big data",7357,3553.78299589482,0.000574712643678161,0.00290144107407292
85,"information systems",2,"#377EB880","big data",7357,2066.59252888551,0.000557724484104852,0.00271027337771141
69,"visualization",2,"#377EB880","big data",7357,2593.54111626852,0.000565610859728507,0.00238851592337876
67,"smart city",2,"#377EB880","big data",7357,1641.63173844711,0.000552181115405853,0.00219767103142189
60,"cloud computing",2,"#377EB880","big data",7357,2622.83232798292,0.000558971492453885,0.00193770630693928
64,"information analysis",2,"#377EB880","big data",7357,2083.82127107471,0.000558659217877095,0.00203686065685078
61,"search engines",2,"#377EB880","big data",7357,1119.49592566357,0.000542299349240781,0.00188919762803846
60,"query processing",2,"#377EB880","big data",7357,971.087192722688,0.000538213132400431,0.00194289138868632
58,"data platform",2,"#377EB880","big data",7357,1169.28691811112,0.000542299349240781,0.00165232672575604
54,"cloud-computing",2,"#377EB880","big data",7357,1298.22973548964,0.000549148819330038,0.00166758427445099
50,"ontology",2,"#377EB880","big data",7357,1278.90059320854,0.000543183052688756,0.00157938111838243
51,"data-source",2,"#377EB880","big data",7357,1010.55880527922,0.000540832882639265,0.00152185476509173
51,"performance",2,"#377EB880","big data",7357,1261.08263564006,0.000546746856205577,0.00147480740919465
49,"large datasets",2,"#377EB880","big data",7357,1506.23261973593,0.000550660792951542,0.00159189750624047
46,"big data architecture",2,"#377EB880","big data",7357,705.612852046736,0.000535331905781585,0.00128937782684904
45,"knowledge graphs",2,"#377EB880","big data",7357,669.127948462282,0.000536193029490617,0.00140224962323272
42,"blockchain",2,"#377EB880","big data",7357,1174.30192076645,0.000542299349240781,0.00153176053853592
43,"data storage",2,"#377EB880","big data",7357,795.869030596543,0.000534188034188034,0.00130027705427923
43,"pipelines",2,"#377EB880","big data",7357,788.207656984885,0.000536193029490617,0.00130628570719066
42,"big data analytic",2,"#377EB880","big data",7357,721.625645923438,0.000536193029490617,0.00155468328036919
42,"data technologies",2,"#377EB880","big data",7357,919.096765958435,0.000538213132400431,0.00115882362224702
41,"digital transformation",2,"#377EB880","big data",7357,1108.62979939261,0.000539083557951483,0.00131819880705054
41,"natural language processing systems",2,"#377EB880","big data",7357,676.6116476841,0.000536193029490617,0.0013105346313443
40,"'current",2,"#377EB880","big data",7357,1002.32261506542,0.000539083557951483,0.00121369577301277
40,"hadoop",2,"#377EB880","big data",7357,441.305334204933,0.000528262017960909,0.00107894122196046
40,"unstructured data",2,"#377EB880","big data",7357,633.012869047211,0.000534473543559594,0.00113032456975331
36,"data sharing",2,"#377EB880","big data",7357,931.910086529971,0.000540540540540541,0.00125291092650519
36,"engineering education",2,"#377EB880","big data",7357,466.068827288373,0.000528262017960909,0.00115287806001562
36,"information retrieval",2,"#377EB880","big data",7357,1197.38377940365,0.000543773790103317,0.00142693467961438
34,"business-intelligence",2,"#377EB880","big data",7357,755.461539815663,0.000534473543559594,0.00122914204972807
34,"smart power grids",2,"#377EB880","big data",7357,316.321788796721,0.000521920668058455,0.0012368403184471
33,"ecosystems",2,"#377EB880","big data",7357,513.057428044054,0.000531067445565587,0.000985570256378085
32,"electric power transmission networks",2,"#377EB880","big data",7357,457.842693007581,0.000529100529100529,0.00115895729020626
32,"extraction",2,"#377EB880","big data",7357,968.38163290062,0.000542005420054201,0.00120657963523476
32,"social networking (online)",2,"#377EB880","big data",7357,358.083724859379,0.000525210084033613,0.000950322390520509
31,"data governances",2,"#377EB880","big data",7357,562.221803383678,0.000531632110579479,0.00111988904072658
30,"power",2,"#377EB880","big data",7357,708.279426245598,0.000533049040511727,0.00096825296842285
29,"big data applications",2,"#377EB880","big data",7357,401.738408147704,0.000526315789473684,0.000815250929784645
29,"heterogeneous data sources",2,"#377EB880","big data",7357,285.914815671615,0.000522193211488251,0.000883803669533609
29,"open systems",2,"#377EB880","big data",7357,835.096689001287,0.000537923614846692,0.00106294886449559
28,"application programs",2,"#377EB880","big data",7357,627.101774473887,0.00053276505061268,0.000972822775726478
28,"knowledge graph",2,"#377EB880","big data",7357,326.616897453175,0.000527704485488127,0.000940156936556973
