"Author";"NP"
"HAJJ-HASSAN H";2
"HAKIMI O";2
"HAMDANI R";2
"HAN H";2
"HAN S";2
"HAN W";2
"HAO H";2
"HAROUN A";2
"HASAN R";2
"HE D";2
"HE P";2
"HE W";2
"HE Y";2
"HERACLEOUS C";2
"HERMANUS DR";2
"HERNÁNDEZ JL";2
"HOSEINI S";2
"HOSSAIN M";2
"HOU K";2
"HU C-L";2
"HU D";2
"HU H";2
"HU L";2
"HU N";2
"HU W";2
"HU X";2
"HUANG G";2
"HUANG GQ";2
"HUANG K";2
"HUANG P";2
"HUANG S";2
"HUANG Z";2
"HUIJIE Z";2
"HUSSAIN M";2
"IGGENA T";2
"INIBHUNU C";2
"INTIZAR MI";2
"IOANNOU PG";2
"IVANOV T";2
"IYER SV";2
"JABBAR KA";2
"JACKULIN T";2
"JAIN A";2
"JAMOUS N";2
"JAMSHIDI P";2
"JANSSEN M";2
"JARKE M";2
"JAYANTHI LN";2
"JAYANTHILADEVI A";2
"JHA M";2
"JHA S";2
"JI X";2
"JI Z";2
"JIA F";2
"JIA H";2
"JIA N";2
"JIA W";2
"JIANG C-T";2
"JIANG J";2
"JIAO L";2
"JIAO Y";2
"JIMÉNEZ-PÉRIS R";2
"JIN H";2
"JIN J";2
"JING J";2
"JONNALAGADDA AK";2
"JOUSSELME A-L";2
"JU Y";2
"KADAM S";2
"KAMALAKKANNAN S";2
"KAMPHUIS C";2
"KAN C";2
"KANDASAMY K";2
"KANG M-S";2
"KANG Q";2
"KARAGEORGOU I";2
"KARAKOLIS E";2
"KARIMOVA F";2
"KARUNAKARAN S";2
"KASULA BY";2
"KATSIGARAKIS K";2
"KAUR A";2
"KAUR M";2
"KAUR P";2
"KAVITHA U";2
"KAYUMOVA M";2
"KHADDAJ S";2
"KHALADKAR B";2
"KHAN F";2
"KHAN NA";2
"KHAN S";2
"KHAN SA";2
"KHOJIYEVA I";2
"KIM C";2
"KIM H";2
"KIM J-H";2
"KIM S";2
"KIRMSE A";2
"KNOWLES D";2
"KOCH W";2
"KOÇYIǦIT A";2
"KODATI S";2
"KOK WAH JNK";2
"KOLIOS P";2
"KONG F";2
"KONG X";2
"KONTSOS A";2
"KOORNNEEF H";2
"KOPP LF";2
"KOREN O";2
"KOSACK K";2
"KOSHLAN O";2
"KOUTRAS C";2
"KOVALYOV SP";2
"KRAAK M-J";2
"KRISHNAMURTHI R";2
"KROGSTIE J";2
"KULKARNI A";2
"KUMAR H";2
"KUMAR MV";2
"KUMAR V";2
"KUMARA I";2
"KUMARESAN A";2
"KÜSTER FILIPE BOWLES J";2
"KWARI A";2
"KYRIAZIS D";2
"LAMA M";2
"LAN H";2
"LAN S";2
"LEE KH";2
"LEE S-H";2
"LENKOWICZ J";2
"LEO M";2
"LEONARDI L";2
"LEROHL D";2
"LI R";2
"LIAKOS P";2
"LIANG C";2
"LIANG L";2
"LIANG Y";2
"LIAO M";2
"LIMA F";2
"LIN B";2
"LIN J";2
"LIN S";2
"LIN Y";2
"LIPP J";2
"LIU MJ";2
"LIU T";2
"LIVALDI A";2
"LOOMIS C";2
"LOU Y";2
"LU D";2
"LU J";2
"LU S";2
"LU Z";2
"LUO H";2
"LUO K";2
"LUO L";2
"LUO T";2
"LV M";2
"MA C";2
"MA F";2
"MA K";2
"MADERA C";2
"MAGNI G";2
"MAGNOTTA L";2
"MAHMOOD T";2
"MAHULE A";2
"MAKHMUDOVA F";2
"MAMI MN";2
"MANOLESCU I";2
"MAO M";2
"MAO Y";2
"MAO Z";2
"MARCEL P";2
"MARCHETTI A";2
"MARCO M";2
"MARCONI F";2
"MARTIN A";2
"MARTÍN A";2
"MARTIN-BAUTISTA MJ";2
"MARTIN-TORAL S";2
"MARTINEZ-PRIETO MA";2
"MARTINEZ-SOTO CM";2
